"Source","Source ID","Category","Category ID","Name","Palette","Threadcount","Overview","Comment","Copyright","Source URL","Update date"
"Weddslist","","Robert Bradford","rb","Cunningham","R#c80000; B#00004c; K#000000; W#d0d0d0; ","W/3 R1 B1 R28 K30 R1 K/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Cunningham D","R#c80000; K#000000; W#d0d0d0; ","W/3 R1 K1 R28 K30 R1 K/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Dalzell","R#c80000; G#004c00; B#00004c; W#d0d0d0; ","G/6 R3 G2 R32 B2 W1 R4 B6 R4 W1 B2 R4 G32 R4 B2 W1 R/24","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Davidson","R#c80000; G#004c00; B#000064; K#000000; ","R/1 B6 G1 B1 G8 K1 G8 K1 G1 K6 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Davidson Double","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","G/3 W2 K3 G8 K8 B8 R2 B/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Davidson of Tulloch","R#c80000; G#004c00; B#00004c; K#000000; W#d0d0d0; ","W/1 G6 K3 B6 R/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Deeside District","B#536c9a; Y#ffc800; G#96815c; R#5d002c; W#ffc800; C#9b4000; ","W/2 G2 R4 G10 C2 B8 Y/2","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Douglas","W#d0d0d0; G#004c00; B#000064; K#000000; ","K/2 W2 G8 B8 W/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Douglas Green","G#004c00; B#000064; K#000000; W#d0d0d0; ","K/4 W2 G8 B8 W/1","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Douglas VS","K#000000; W#707070; ","W/2 K1 W16 K8 W1 K1 W1 K/16","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Drummond C","R#c80000; G#004c00; B#000064; K#000000; W#d0d0d0; ","R/3 K1 R1 G6 R1 G1 R1 K2 R1 W1 R6 B1 R1 B1 R/3","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Drummond VS","R#c80000; G#004c00; K#000000; ","G/4 R1 G1 R28 G8 K1 G1 K1 G18 R1 G1 R/4","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Drummond of Perth","R#c80000; G#004c00; B#000064; W#d0d0d0; Y#ffc800; ","R/36 W1 B3 Y1 G16 R8 B3 W/5","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
"Weddslist","","Robert Bradford","rb","Dunbar","R#c80000; G#004c00; K#000000; ","R/4 G1 R28 K8 G21 R/6","","Patterns kindly provided by Robert Bradford.","","http://www.weddslist.com/cgi-bin/tartans/pg.pl?source=rb","2016/11/01 20:46:48"
