"Category", "Name", "Threadcount"
"Robert Bradford", "Hay and Leith", "r#c80000g#004c00b#5a3094k#000000w#d0d0d0y#ffc800[k3(r1y1k2r16g2r1y1r2g15w1k15r1b15r2y1r1b2r16k2y1r1)k3"
"Robert Bradford", "Henderson", "k#000000w#d0d0d0g#004c00b#00004cy#ffc800[y1(k6g4k1g16b1g4b6)w1"
"Robert Bradford", "Home", "r#c80000g#004c00b#00005ck#000000[b3(g2b24k8r1k2r1)k28"
"Robert Bradford", "Hunter", "r#c80000g#004c00b#00004ck#000000w#d0d0d0[g8(k1g8k8r1b8w1b8r1)k8"
"Robert Bradford", "Huntly Old", "r#c80000g#004c00h#5a3094k#000000w#d0d0d0[h16(w2r7w2k14w8h15w2g17w6g6r8k6r8)k2"
"Robert Bradford", "Innes", "r#c80000g#004c00b#00004cw#d0d0d0y#ffc800k#000000[w7(k24r4k4r4k4r24y4r6b12r6k4g20k4r6)w4"
"Robert Bradford", "Innes D", "r#c80000g#004c00b#000054k#000000w#d0d0d0y#ffc800[w3(k12r2k2r2k2r12y2r3b6r3k2g10k2r3)w2"
"Robert Bradford", "Johnston", "g#004c00b#000064k#000000y#ffc800[y3(g2k1g30b24k2b2)k2"
"Robert Bradford", "Keith and Austin", "g#004c00b#000064k#000000[k2(g9b4k4)b4"
"Robert Bradford", "Kennedy", "b#00004ck#000000w#d0d0d0g#004c00r#c80000y#ffc800[r2(g23b4k3b3k3b3k3b4g13r1g2r1g3y1g2)b2"
"Robert Bradford", "Kerr", "g#004c00k#000000r#c80000[k4(r2k1r28k14g3k1g2k1)g20"
"Robert Bradford", "Kerr Hunting", "g#004c00b#000064k#000000[k4(b2k1b28k14g3k1g2k1)g20"
"Robert Bradford", "Kincaid", "r#c80000g#004c00k#000000[k11(g17)r3"
"Robert Bradford", "Kincardine Tweed", "b#0000c8g#00c800r#c80000n#9b7a0bo#8b4513[b4(n15r1)n30]g4(o15r1)o30"
"Robert Bradford", "Lamont", "g#004c00b#000064k#000000w#d0d0d0[b3(k1b1k1b1k4g4w1g4k4b4k1)b1"
"Robert Bradford", "Leslie Dress", "r#c80000b#000064k#000000y#ffc800[b1(r32b16r4k6y1k6)r4"
"Robert Bradford", "Leslie Hunting", "r#c80000g#004c00b#000064k#000000w#d0d0d0[r2(b8k8w1g8)k1"
"Robert Bradford", "Lindsay", "c#8b4513b#00004cg#004c00[c3(b2c24b8g2b2g2b2)g20"
"Robert Bradford", "Lindsay Red", "r#c80000b#000064g#004c00[r3(b2r24b8g2b2g2b2)g20"
"Robert Bradford", "Livingston", "r#c80000g#004c00k#000000[r8(g2r20g16r4k1r3k1r3)g12"
"Robert Bradford", "Lochaber District", "b#3c779dg#2d783ek#000000r#c80000[b2(g1b16r1k12g16r1)g2"
"Robert Bradford", "Logan and MacLennan", "r#c80000g#004c00b#000080k#000000y#ffff00[y2(g1r1g16k12b16r2b2r2b3)r6"
